V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q1_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q4_1_TEXT,Q4_2_TEXT,Q4_3_TEXT,Q5_1,Q5_2,Q5_3,Q7,Q8,Q9_1,Q9_2,Q9_3,Q10_1,Q10_2,Q10_3,Q10_4,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Indicate how you feel today,Indicate how you feel today-TEXT,Indicate to what extent you identify with the following feelings today:-Aggressive,Indicate to what extent you identify with the following feelings today:-Agonized,Indicate to what extent you identify with the following feelings today:-Anxious,Indicate to what extent you identify with the following feelings today:-Arrogant,Indicate to what extent you identify with the following feelings today:-Bored,Indicate to what extent you identify with the following feelings today:-Interested,Indicate to what extent you identify with the following feelings today:-Shocked,Indicate to what extent you identify with the following feelings today:-Smug,Indicate to what extent you identify with the following feelings today:-Miserable,Indicate to what extent you identify with the following feelings today:-Regretful,Indicate to what extent you identify with the following feelings today:-Relieved,Indicate to what extent you identify with the following feelings today:-Paranoid,Indicate to what extent you identify with the following feelings today:-Perplexed,Indicate to what extent you identify with the following feelings today:-Sheepish,"Tell us about how you feel using three random words, bruh:-Feeling 1","Tell us about how you feel using three random words, bruh:-Feeling 2","Tell us about how you feel using three random words, bruh:-Feeling 3",How does the size of this ugly matrix question make you feel?-Awful,How does the size of this ugly matrix question make you feel?-Happy to be alive,How does the size of this ugly matrix question make you feel?-Somewhere in between awful and happy to be alive,What do you think about legos? ,Descriptive text boxes are people too!  🍹🍷,"Rank the following things, man-thing1","Rank the following things, man-thing2","Rank the following things, man-thing3",This is a bipolar matrix to test with!-Click to write Statement 1:Boop,This is a bipolar matrix to test with!-bo:meh,This is a bipolar matrix to test with!-gra:ahhhh,This is a bipolar matrix to test with!-who knows:woooooo,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1kZzwCTCVtyYw1c,Default Response Set,Anonymous,,,130.64.25.62,0,2016-03-29 15:58:11,2016-03-29 15:59:27,1,1,,2,2,2,3,3,3,2,1,2,1,3,1,2,2,bruh,brah,bro-man,1,5,6,legos are pretty dope,1,3,2,1,,,,,42.401901245117,-71.119300842285,-1,
R_29uEI1o5sDFFE3z,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:57,2016-03-29 16:00:57,1,21,,1,3,2,3,2,3,1,2,2,2,1,2,2,2,Est ab aenean mattis? Fringilla pede pede quis arcu fusce.,Ab potenti? Enim. Leo? Donec. Eleifend purus ipsum. Aenean posuere fusce? Vel.,"Culpa maecenas convallis bibendum nulla maecenas risus lacus, curabitur suspendisse imperdiet tempora, donec.",5,9,6,Cras! Et. Convallis neque montes? Ab nec sed atque turpis dignissim.,1,3,2,1,,,,,42.401901245117,-71.119300842285,-1,
R_29TnrwIJEyQWRRb,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:57,2016-03-29 16:00:57,1,6,,3,2,2,2,3,2,2,1,1,3,2,3,1,3,Luctus etiam lectus orci. Nibh venenatis dapibus sodales a. Ipsum nec.,A vestibulum nonummy. Amet felis gravida massa faucibus. Est lectus.,"Pharetra accumsan at dui nec vehicula viverra nec, magnis ligula.",9,3,3,Pharetra egestas accusamus elit vel metus euismod vitae luctus eu mi platea. Porttitor tempus. Purus.,1,2,1,3,,,,,42.401901245117,-71.119300842285,-1,
R_dnFSkq16hxWYocZ,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:57,2016-03-29 16:00:57,1,24,Vel dignissim eros pretium elementum! Nec iaculis molestie rutrum aenean eget. Ultricies. Nec sapien convallis.,2,1,2,1,2,1,2,3,3,3,1,2,2,1,Platea ligula. Potenti maecenas volutpat ultricies tempus consequat. Rutrum luctus. Nunc.,"Scelerisque eleifend velit vehicula tincidunt! Neque etiam, per! Mattis vulputate praesent ultrices.","Ullamcorper? Fusce non dictumst accusamus. Ultrices turpis proin, dui nulla. Vel.",4,10,8,Ut suscipit sem venenatis atque curabitur amet proin? Orci pede.,1,3,1,2,,,,,42.401901245117,-71.119300842285,-1,
R_bdXBd9OFSuZXjVj,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:57,2016-03-29 16:00:58,1,8,,2,1,1,1,2,1,2,3,1,3,1,2,2,1,"Id dolor ultricies erat per porttitor atque id nunc, rutrum commodo.",Laoreet duis tortor ultrices! Turpis fusce dictumst metus pellentesque aliquet.,Ridiculus malesuada magnis convallis blandit proin massa dolorem! Fringilla risus etiam tortor at neque.,10,1,1,Ridiculus aenean? Integer sagittis vitae sit dolorem phasellus felis risus est.,1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_cCkW22PIX7HhIb3,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:58,2016-03-29 16:00:58,1,5,,1,1,1,1,2,2,3,1,2,1,1,3,1,1,At! Gravida wisi? Platea dapibus sem euismod. Vitae pede dictumst.,"Sagittis magnis vulputate metus. Primis lectus tempora nibh malesuada curabitur proin etiam, proin ut morbi.","Montes. Mi! Nibh, lacus malesuada blandit! Nunc vestibulum mi dolor temporibus diam sollicitudin magnis.",6,1,7,Rhoncus turpis pede tincidunt! Interdum cursus purus consequat vehicula. Fringilla nunc culpa.,1,2,1,3,,,,,42.401901245117,-71.119300842285,-1,
R_1TwK8v6sQv8YCcB,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:58,2016-03-29 16:00:58,1,9,,2,2,3,3,3,3,1,2,3,1,3,3,1,3,Etiam accusamus posuere augue eu quis malesuada vestibulum? Vulputate! Dui donec.,Magnis felis proin eleifend! Eros non. Curabitur sem euismod orci facilisis elit.,"Elementum consequat tempor potenti? Ipsum temporibus ridiculus. Felis ipsum sed interdum, accumsan.",6,4,2,"Suspendisse pharetra molestie. A a cursus blandit, montes nunc consectetuer facilisis proin.",1,2,3,1,,,,,42.401901245117,-71.119300842285,-1,
R_9LXxt4uic56McRv,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:58,2016-03-29 16:00:58,1,3,,1,1,1,3,3,3,1,1,1,3,2,1,3,3,Felis convallis wisi tincidunt mi convallis? Cursus dui dui. Convallis pretium wisi potenti? Urna convallis.,"Ante? Nonummy quis, tortor cras! Fusce atque at venenatis atque mi vulputate posuere luctus.",Volutpat eget iaculis porttitor tempus viverra sed urna suscipit augue sagittis? Etiam.,3,9,5,"Pretium per auctor? Nibh dapibus faucibus sapien? Risus, augue, ut, praesent purus augue consectetuer facilisi.",1,1,2,3,,,,,42.401901245117,-71.119300842285,-1,
R_3rQEH1w8Jfo1Rfn,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:58,2016-03-29 16:00:58,1,8,,1,3,2,1,2,1,2,2,3,1,2,1,2,1,Faucibus. Blandit cursus ipsum vivamus dolorem ligula nullam magnis. Cursus. Magnis tincidunt eleifend.,Posuere nulla culpa auctor non ante vel leo accumsan? Mattis! Porta.,Aenean. Urna. Dapibus commodo natoque luctus nonummy. Pharetra at aliquam velit.,5,8,2,Bibendum culpa. Fringilla. Ligula. Sed consectetuer viverra diam euismod malesuada.,1,2,3,1,,,,,42.401901245117,-71.119300842285,-1,
